"active","Ceci n'est pas une token
@0xdesigner 

https://metal.build/deployment/4e55d454-d00e-55c2-a84a-3d2fcd3959fe/overview?iykRef=X99rDG68xDiD7muHXKhR1"
"inactive","Happy New Month people!

May March bring you closer to your goals and shower you with moments of happiness.

Happy New Month once again from your favourite Graphic Designer."
"inactive","🔙 Throwback to a cool identity design from the last leap year! 🚀🎨 Creative details 👇
www.inforemix.com/workv2/ecatalyst"
"active","A few early concept ideas for the cinematic trailer for 'Соzу WоrId', we had a lot of fun with this one!"
"inactive","If you're $Frame holder

You can Claim 100 million $BabyFrame 🖼️
For free (est.value: 100$-500$)
⏩ 
website is safe 
Just claimed mine!!
Powered by  @neynar @hedgey 
⬇️👇"
"inactive","If you're $degen holder

You can Claim 40 million $BabyFrame 🖼️
For free (est.value: 40$-400$)
⏩ 
website is safe 
Just claimed mine!!
Powered by  @neynar @hedgey 
⬇️👇"
"inactive","We all know mfers who get paid to shill. Hoping X to show this alert once they integrate crypto payments (similar to community notes) ☺️"
"inactive","Passion is what keeps your Purpose alive.

Staying up all night to do what I love is just an activity I find myself indulging in.

What is that thing you're willing to sacrifice your sleep for?

Mine is putting my Creative ability to work."
"inactive","$DEGEN"
"inactive","https://zora.co/collect/zora:0x9db2382ab0838161763fb78585ea9382d7752a8e/premint-60"
"inactive","Just imagine a World where everyone has the vision to make an impact.

PS: Graphic Designs tell the stories of your incredible visions in visual forms which increase your Project Visibility seamlessly.

Do you love Creativity?

Well, I'm a breathing and walking force of Creativity."
"inactive","Great things never come from comfort zones"
"inactive","https://zora.co/collect/zora:0x0d1c53055042d4ea70ec3676d8a204a952ba3a59/8?referrer=0x4cE127CC8A9E2BD5755E3b62837FB2FC1920D7F6"
"active","Look at the bosses we have in our game.
They're beautiful💛 💜 🧡"
"inactive","🔥"
"inactive","I’m Neon3000. Cyber -Artist. Employee of “Neon Corp”. I draw based on “Their” secret developments.

“Neon Corp”. Top Secret corporation. Genetic Engineering, biomechanics, mutagens, cyber technology, extraterrestrial technology,The combination of organics with mechanisms. Transcoding DNA. 🦾🤖🧬🧪"
"inactive","BLACK CRYSTAL AIRDROP FCFS 999⏳️🪂

🚀FREE MINT NFT ON OPENSEA (only fees): https://opensea.io/collection/black-crystal-0/overview

$CRYSTAL Token : https://basescan.org/token/0x77979657c167d7afc2fea9404d8edfd949b8a2c2

LIKE+RECAST AND QUOTE+COMMENT👍
. .
1 BLACK CRYSTAL = 100.000 $CRYSTAL🪂."
"inactive","Lfg"
"inactive",""
"active","GM！
F4F"
"inactive","✅Like 
✅Recast 
✅Follow 
✅🤑🤑Comment me 500 $DEGEN 
✅Done 
✔️Mint Success 
https://zora.co/collect/zora:0x5abf0c04ab7196e2bdd19313b479baebd9f7791b/47"
"active","All holders @0x0mtan can claim $BWIF airdrop

You can claim $BWIF on frame transaction, and need to connect your @base wallet

How to claim? 
1. Follow me
2. Like & quote ""CLAIM $BWIF""
3. Have a NFT OG 

TAKE IT, WE BALD !
https://frames.neynar.com/f/fedc3266/81300481"
"inactive","Halving but not Bitcoin
🌟The HERE Wallet project announced the halving of their HOT token
🧰This way, the earnings of coins will be halved in order to increase their value
🚀They promise to give boosts to active accounts that were registered before halving
🎁Farm HOT  t.me/herewalletbot/app?startapp=168910"
"inactive","✅GM"
"inactive","Miles Grimshaw returns to Thrive Capital, surprising industry with his top 5 insights on tech investment trends and startups' future. #digitaldaze #technews #news #technology"
"active","💰
Like
Recast
Commait 📝1000 $DEGEN
💯🎁"
"inactive","Berd is the Word.
use 🐦🍞 emoji in ur username
@berd @crypto100 /berd 👍"
"active","Ceci n'est pas une token
@0xdesigner 

https://metal.build/deployment/4e55d454-d00e-55c2-a84a-3d2fcd3959fe/overview?iykRef=X99rDG68xDiD7muHXKhR1"
"inactive","Happy New Month people!

May March bring you closer to your goals and shower you with moments of happiness.

Happy New Month once again from your favourite Graphic Designer."
"inactive","🔙 Throwback to a cool identity design from the last leap year! 🚀🎨 Creative details 👇
www.inforemix.com/workv2/ecatalyst"
"active","A few early concept ideas for the cinematic trailer for 'Соzу WоrId', we had a lot of fun with this one!"
"inactive","If you're $Frame holder

You can Claim 100 million $BabyFrame 🖼️
For free (est.value: 100$-500$)
⏩ 
website is safe 
Just claimed mine!!
Powered by  @neynar @hedgey 
⬇️👇"
"inactive","If you're $degen holder

You can Claim 40 million $BabyFrame 🖼️
For free (est.value: 40$-400$)
⏩ 
website is safe 
Just claimed mine!!
Powered by  @neynar @hedgey 
⬇️👇"
"inactive","We all know mfers who get paid to shill. Hoping X to show this alert once they integrate crypto payments (similar to community notes) ☺️"
"inactive","Passion is what keeps your Purpose alive.

Staying up all night to do what I love is just an activity I find myself indulging in.

What is that thing you're willing to sacrifice your sleep for?

Mine is putting my Creative ability to work."
"inactive","$DEGEN"
"inactive","https://zora.co/collect/zora:0x9db2382ab0838161763fb78585ea9382d7752a8e/premint-60"
"inactive","Just imagine a World where everyone has the vision to make an impact.

PS: Graphic Designs tell the stories of your incredible visions in visual forms which increase your Project Visibility seamlessly.

Do you love Creativity?

Well, I'm a breathing and walking force of Creativity."
"inactive","Great things never come from comfort zones"
"inactive","https://zora.co/collect/zora:0x0d1c53055042d4ea70ec3676d8a204a952ba3a59/8?referrer=0x4cE127CC8A9E2BD5755E3b62837FB2FC1920D7F6"
"active","Look at the bosses we have in our game.
They're beautiful💛 💜 🧡"
"inactive","🔥"
"inactive","I’m Neon3000. Cyber -Artist. Employee of “Neon Corp”. I draw based on “Their” secret developments.

“Neon Corp”. Top Secret corporation. Genetic Engineering, biomechanics, mutagens, cyber technology, extraterrestrial technology,The combination of organics with mechanisms. Transcoding DNA. 🦾🤖🧬🧪"
"inactive","BLACK CRYSTAL AIRDROP FCFS 999⏳️🪂

🚀FREE MINT NFT ON OPENSEA (only fees): https://opensea.io/collection/black-crystal-0/overview

$CRYSTAL Token : https://basescan.org/token/0x77979657c167d7afc2fea9404d8edfd949b8a2c2

LIKE+RECAST AND QUOTE+COMMENT👍
. .
1 BLACK CRYSTAL = 100.000 $CRYSTAL🪂."
"inactive","Lfg"
"inactive",""
"active","GM！
F4F"
"inactive","✅Like 
✅Recast 
✅Follow 
✅🤑🤑Comment me 500 $DEGEN 
✅Done 
✔️Mint Success 
https://zora.co/collect/zora:0x5abf0c04ab7196e2bdd19313b479baebd9f7791b/47"
"active","All holders @0x0mtan can claim $BWIF airdrop

You can claim $BWIF on frame transaction, and need to connect your @base wallet

How to claim? 
1. Follow me
2. Like & quote ""CLAIM $BWIF""
3. Have a NFT OG 

TAKE IT, WE BALD !
https://frames.neynar.com/f/fedc3266/81300481"
"inactive","Halving but not Bitcoin
🌟The HERE Wallet project announced the halving of their HOT token
🧰This way, the earnings of coins will be halved in order to increase their value
🚀They promise to give boosts to active accounts that were registered before halving
🎁Farm HOT  t.me/herewalletbot/app?startapp=168910"
"inactive","✅GM"
"inactive","Miles Grimshaw returns to Thrive Capital, surprising industry with his top 5 insights on tech investment trends and startups' future. #digitaldaze #technews #news #technology"
"active","💰
Like
Recast
Commait 📝1000 $DEGEN
💯🎁"
"inactive","Berd is the Word.
use 🐦🍞 emoji in ur username
@berd @crypto100 /berd 👍"
"active","Ceci n'est pas une token
@0xdesigner 

https://metal.build/deployment/4e55d454-d00e-55c2-a84a-3d2fcd3959fe/overview?iykRef=X99rDG68xDiD7muHXKhR1"
"inactive","Happy New Month people!

May March bring you closer to your goals and shower you with moments of happiness.

Happy New Month once again from your favourite Graphic Designer."
"inactive","🔙 Throwback to a cool identity design from the last leap year! 🚀🎨 Creative details 👇
www.inforemix.com/workv2/ecatalyst"
"active","A few early concept ideas for the cinematic trailer for 'Соzу WоrId', we had a lot of fun with this one!"
"inactive","If you're $Frame holder

You can Claim 100 million $BabyFrame 🖼️
For free (est.value: 100$-500$)
⏩ 
website is safe 
Just claimed mine!!
Powered by  @neynar @hedgey 
⬇️👇"
"inactive","If you're $degen holder

You can Claim 40 million $BabyFrame 🖼️
For free (est.value: 40$-400$)
⏩ 
website is safe 
Just claimed mine!!
Powered by  @neynar @hedgey 
⬇️👇"
"inactive","We all know mfers who get paid to shill. Hoping X to show this alert once they integrate crypto payments (similar to community notes) ☺️"
"inactive","Passion is what keeps your Purpose alive.

Staying up all night to do what I love is just an activity I find myself indulging in.

What is that thing you're willing to sacrifice your sleep for?

Mine is putting my Creative ability to work."
"inactive","$DEGEN"
"inactive","https://zora.co/collect/zora:0x9db2382ab0838161763fb78585ea9382d7752a8e/premint-60"
"inactive","Just imagine a World where everyone has the vision to make an impact.

PS: Graphic Designs tell the stories of your incredible visions in visual forms which increase your Project Visibility seamlessly.

Do you love Creativity?

Well, I'm a breathing and walking force of Creativity."
"inactive","Great things never come from comfort zones"
"inactive","https://zora.co/collect/zora:0x0d1c53055042d4ea70ec3676d8a204a952ba3a59/8?referrer=0x4cE127CC8A9E2BD5755E3b62837FB2FC1920D7F6"
"active","Look at the bosses we have in our game.
They're beautiful💛 💜 🧡"
"inactive","🔥"
"inactive","I’m Neon3000. Cyber -Artist. Employee of “Neon Corp”. I draw based on “Their” secret developments.

“Neon Corp”. Top Secret corporation. Genetic Engineering, biomechanics, mutagens, cyber technology, extraterrestrial technology,The combination of organics with mechanisms. Transcoding DNA. 🦾🤖🧬🧪"
"inactive","BLACK CRYSTAL AIRDROP FCFS 999⏳️🪂

🚀FREE MINT NFT ON OPENSEA (only fees): https://opensea.io/collection/black-crystal-0/overview

$CRYSTAL Token : https://basescan.org/token/0x77979657c167d7afc2fea9404d8edfd949b8a2c2

LIKE+RECAST AND QUOTE+COMMENT👍
. .
1 BLACK CRYSTAL = 100.000 $CRYSTAL🪂."
"inactive","Lfg"
"inactive",""
"active","GM！
F4F"
"inactive","✅Like 
✅Recast 
✅Follow 
✅🤑🤑Comment me 500 $DEGEN 
✅Done 
✔️Mint Success 
https://zora.co/collect/zora:0x5abf0c04ab7196e2bdd19313b479baebd9f7791b/47"
"active","All holders @0x0mtan can claim $BWIF airdrop

You can claim $BWIF on frame transaction, and need to connect your @base wallet

How to claim? 
1. Follow me
2. Like & quote ""CLAIM $BWIF""
3. Have a NFT OG 

TAKE IT, WE BALD !
https://frames.neynar.com/f/fedc3266/81300481"
"inactive","Halving but not Bitcoin
🌟The HERE Wallet project announced the halving of their HOT token
🧰This way, the earnings of coins will be halved in order to increase their value
🚀They promise to give boosts to active accounts that were registered before halving
🎁Farm HOT  t.me/herewalletbot/app?startapp=168910"
"inactive","✅GM"
"inactive","Miles Grimshaw returns to Thrive Capital, surprising industry with his top 5 insights on tech investment trends and startups' future. #digitaldaze #technews #news #technology"
"active","💰
Like
Recast
Commait 📝1000 $DEGEN
💯🎁"
"inactive","Berd is the Word.
use 🐦🍞 emoji in ur username
@berd @crypto100 /berd 👍"
"active","Ceci n'est pas une token
@0xdesigner 

https://metal.build/deployment/4e55d454-d00e-55c2-a84a-3d2fcd3959fe/overview?iykRef=X99rDG68xDiD7muHXKhR1"
"inactive","Happy New Month people!

May March bring you closer to your goals and shower you with moments of happiness.

Happy New Month once again from your favourite Graphic Designer."
"inactive","🔙 Throwback to a cool identity design from the last leap year! 🚀🎨 Creative details 👇
www.inforemix.com/workv2/ecatalyst"
"active","A few early concept ideas for the cinematic trailer for 'Соzу WоrId', we had a lot of fun with this one!"
"inactive","If you're $Frame holder

You can Claim 100 million $BabyFrame 🖼️
For free (est.value: 100$-500$)
⏩ 
website is safe 
Just claimed mine!!
Powered by  @neynar @hedgey 
⬇️👇"
"inactive","If you're $degen holder

You can Claim 40 million $BabyFrame 🖼️
For free (est.value: 40$-400$)
⏩ 
website is safe 
Just claimed mine!!
Powered by  @neynar @hedgey 
⬇️👇"
"inactive","We all know mfers who get paid to shill. Hoping X to show this alert once they integrate crypto payments (similar to community notes) ☺️"
"inactive","Passion is what keeps your Purpose alive.

Staying up all night to do what I love is just an activity I find myself indulging in.

What is that thing you're willing to sacrifice your sleep for?

Mine is putting my Creative ability to work."
"inactive","$DEGEN"
"inactive","https://zora.co/collect/zora:0x9db2382ab0838161763fb78585ea9382d7752a8e/premint-60"
"inactive","Just imagine a World where everyone has the vision to make an impact.

PS: Graphic Designs tell the stories of your incredible visions in visual forms which increase your Project Visibility seamlessly.

Do you love Creativity?

Well, I'm a breathing and walking force of Creativity."
"inactive","Great things never come from comfort zones"
"inactive","https://zora.co/collect/zora:0x0d1c53055042d4ea70ec3676d8a204a952ba3a59/8?referrer=0x4cE127CC8A9E2BD5755E3b62837FB2FC1920D7F6"
"active","Look at the bosses we have in our game.
They're beautiful💛 💜 🧡"
"inactive","🔥"
"inactive","I’m Neon3000. Cyber -Artist. Employee of “Neon Corp”. I draw based on “Their” secret developments.

“Neon Corp”. Top Secret corporation. Genetic Engineering, biomechanics, mutagens, cyber technology, extraterrestrial technology,The combination of organics with mechanisms. Transcoding DNA. 🦾🤖🧬🧪"
"inactive","BLACK CRYSTAL AIRDROP FCFS 999⏳️🪂

🚀FREE MINT NFT ON OPENSEA (only fees): https://opensea.io/collection/black-crystal-0/overview

$CRYSTAL Token : https://basescan.org/token/0x77979657c167d7afc2fea9404d8edfd949b8a2c2

LIKE+RECAST AND QUOTE+COMMENT👍
. .
1 BLACK CRYSTAL = 100.000 $CRYSTAL🪂."
